"Direcc..Media.de.Proced..0.N.90.E."	"logHm0"	"logTm02"	"logTp"	"ID"	"loc"
80	1.44691898293633	1.90954250488444	2.17133680638409	209	"MarDeltaEbre"
71	1.34286480319255	2.04898233419513	2.35422832614588	209	"MarDeltaEbre"
76	1.29746314741327	1.81482474215905	2.06305806242931	209	"MarDeltaEbre"
77	1.30291275218084	1.84054963339749	2.11142458753289	209	"MarDeltaEbre"
73	1.47017584510059	1.92716410623426	2.19833507162025	209	"MarDeltaEbre"
72	1.54329810992956	1.9387416595767	2.20717490818939	209	"MarDeltaEbre"
79	1.24990173621434	1.83896107071235	2.12823170584927	209	"MarDeltaEbre"
76	1.45161382724053	1.94876321803772	2.2353763433006	209	"MarDeltaEbre"
73	1.3297240096315	1.85785927093258	2.14593128294867	209	"MarDeltaEbre"
78	1.36353737399727	1.86408013080768	2.12823170584927	209	"MarDeltaEbre"
185	1.23547147138531	1.80828877117927	2.09556092355972	209	"MarDeltaEbre"
106	1.16002091679675	1.71739505393919	1.94448055624572	209	"MarDeltaEbre"
68	1.50407739677627	1.9387416595767	2.22570404865809	209	"MarDeltaEbre"
67	1.49738840862548	2.00012773496011	2.32238772029023	209	"MarDeltaEbre"
74	0.858661619037519	1.8099267731835	2.21593728626837	209	"MarDeltaEbre"
182	1.21491274436427	1.77833644889591	2.04769284336526	209	"MarDeltaEbre"
103	1.22082992139236	1.78842056796254	2.14593128294867	209	"MarDeltaEbre"
73	1.80828877117927	2.12226153886276	2.41947884446554	209	"MarDeltaEbre"
75	1.42791603581071	1.90210752639692	2.1540850846756	209	"MarDeltaEbre"
71	1.84687876844913	2.0515563381903	2.32238772029023	209	"MarDeltaEbre"
76	1.38379123090177	1.87180217690159	2.13653050866396	209	"MarDeltaEbre"
72	1.24415459395877	1.80664808172181	2.07191327525904	209	"MarDeltaEbre"
349	1.43508452528932	1.75267208052001	1.9387416595767	209	"MarDeltaEbre"
315	1.47017584510059	1.74571553072665	1.9643112344262	209	"MarDeltaEbre"
333	1.24990173621434	1.65249740189455	1.88251383249652	209	"MarDeltaEbre"
320	1.56444054650336	1.78170913337455	2.006870848845	209	"MarDeltaEbre"
329	1.70656462316482	1.84371920815877	2.07317192866624	209	"MarDeltaEbre"
327	1.33500106673234	1.6467336971778	1.85473426838944	209	"MarDeltaEbre"
354	1.39376637595859	1.69561560867515	1.92424865227413	209	"MarDeltaEbre"
70	1.55603713570699	1.92570744173779	2.2170272046324	209	"MarDeltaEbre"
336	1.38128181929635	1.66959183525385	1.88403474533723	209	"MarDeltaEbre"
65	1.52605630349505	1.82616089594539	2.08193842187842	209	"MarDeltaEbre"
342	1.36353737399727	1.67709656090792	1.9139771019523	209	"MarDeltaEbre"
65	1.72988406550997	2.06559613485778	2.48823443988067	209	"MarDeltaEbre"
65	1.31372366828506	1.84054963339749	2.1126345090356	209	"MarDeltaEbre"
63	1.67709656090792	1.96290772542388	2.30358459332713	209	"MarDeltaEbre"
64	2.10046890887191	2.1938856760707	2.58926666511224	209	"MarDeltaEbre"
62	1.86562931779451	2.05668455455722	2.39880395073459	209	"MarDeltaEbre"
77	1.40118297361364	1.89160480419777	2.2082744135228	209	"MarDeltaEbre"
65	1.60140574073684	2.04640168760164	2.39880395073459	209	"MarDeltaEbre"
64	1.43508452528932	1.93730177451871	2.30358459332713	209	"MarDeltaEbre"
64	1.50407739677627	1.9473377010465	2.30358459332713	209	"MarDeltaEbre"
76	1.56444054650336	1.96009478404727	2.2353763433006	2128	"MarBegur"
85	2.03470564783844	2.13416644136908	2.3646204839135	2128	"MarBegur"
77	1.83098018238134	2.0360119837525	2.31253542384721	2128	"MarBegur"
84	1.57691472072854	1.93730177451871	2.22570404865809	2128	"MarBegur"
78	1.68268837417369	1.97823903617067	2.2353763433006	2128	"MarBegur"
78	1.50407739677627	1.95868534054404	2.2353763433006	2128	"MarBegur"
76	1.85785927093258	2.08069076108027	2.34372703632522	2128	"MarBegur"
142	1.28923264827676	1.82616089594539	2.11142458753289	2128	"MarBegur"
128	1.39624469197306	1.88555334851442	2.14593128294867	2128	"MarBegur"
